photo_id,business_id,caption,label
MllA1nNpcp1kDteVg6OGUw,rcaPajgKOJC2vo_l3xa42A,,inside
YjxBE88Bf6CmTEF2LP1UNA,Kn23LDd740SBVJ7mum0fwg,,inside
1f7izSjM0WjkDRIVbPy1yw,ZkGDCVKSdf8m76cnnalL-A,,food
NcSlcDTEEeOaixotOPk-rA,bF8gv7k_rwZtiDLP2ZB04w,,inside
5IiIo5UKEW0lWqZ6sWrY_A,50Anorn0DJXFhBr9a9_gHQ,,inside
7qgloFt32To0cso0dktpNw,5diHqpk_JSC4p8tIo4APow,,outside
2HQXPHAw4lw776L2R_5etA,qutQLFutEyHy440jpADnxA,,outside
EVFDQjVGW_zj91RgQ2nfsQ,57Ot-sRTzL925ipv-5SzTg,,inside
ALpQYUWR2Rk4uIT-5f0fvA,57Ot-sRTzL925ipv-5SzTg,,inside
BZpJpCv0DzLPkxq4slyvyQ,UUGoM4q4i8rK2CBRS0xDAw,,inside
HLwvvzfBh0tdJAJXKEehqw,C74ViML3zx1akYVafLaiXQ,,food
3x0vuJ9i9sb38VP4Qfovyw,fepCIbejv-Kxs6SE6u-_uA,,food
xVlTzcE0NkLeNNe-x4Z6JQ,USleI8g1UVN9-9jm-b4uIg,,inside
pbUFU687jwM5vrkyXTXBgQ,USleI8g1UVN9-9jm-b4uIg,,inside
ul2_wvB0BHWqDNq6WSe44w,XNG9v1-DmScfwMShOmErcg,,food
mHeavkliy9s8_ealdaI-Rw,0lxyY2bwmpde2QHcnh8fZQ,,outside
-bpyOFpGiJsOzh_y17cTMQ,-KIdCJnkt5N8rnnmWR5MQg,Outside,outside
7EcAwdZhYsdz-CSq8ROEBw,I6EDDi4-Eq_XlFghcDCUhw,,food
YkW51dD0Hzw1572XLzrV5w,JIl4gbnh_cORSjSrZgOjAQ,"""last neighborhood bar in Vegas""",outside
fFf5HfvOZZBM_u-9fFSiHw,zU9w_xRlQSRIYXxGo-HSOA,now this is a sandwich,food
VTRKZpezwa25pyc8ePWLQQ,AkpuhGyLAxhD_sLMQv3kOg,Kai Restaurant,inside
2fp5KiQd91qw351ea2V4Xw,AkpuhGyLAxhD_sLMQv3kOg,Resort lounge.,inside
0MogMlvFon6RMuVFNRMITg,HOmUXgWOl37CaLqmrsPwuw,,inside
CGQz5KfDrUvMh3fIfrgk8A,AnXovUgUHJap3QaDRnjL1w,"Not the Blueberry Hill I go to, but close enough.",outside
ot0P9NkNIuXJW7e3kiRZ6A,Trs4cEYdP6AX_KihTk9kWQ,,outside
EUEC3WQIlCHNGlbOW9wAOA,XZbuPXdyA0ZtTu3AzqtQhg,,inside
wNTCPtF_FfxL-aPfg6_-8w,-050d_XIor1NpCuWkbIVaQ,The counter at Matt's Big Breakfast. I have a strong hunch that's Matt himself in the background.,inside
1eDvPC4F8cGvuI2lGpIoEw,296PZdxSrtH08EUwCsOKMw,,inside
yxkz1OIxe9hJAfTK_wYQ6w,JEQaPs7jNT1M2os9lJDlUA,A typical table at Coronado Cafe,inside
kvAOwh5eJKDSSPDCd4DZjg,9xAQPtjOf92wLjMHPWYEpA,,inside
-8vsof7QTBM_eb8bONG6uQ,rcaPajgKOJC2vo_l3xa42A,,inside
